0,1,2,3,4
Fecha,Día,Min,Máx,Precio
23/06,Miércoles,31074,35752,33413
24/06,Jueves,27623,31781,29702
25/06,Viernes,27687,31855,29771
28/06,Lunes,27469,31605,29537
29/06,Martes,25827,29715,27771
30/06,Miércoles,25651,29513,27582
1/07,Jueves,24491,28177,26334
2/07,Viernes,24272,27926,26099
5/07,Lunes,25208,29002,27105
6/07,Martes,27682,31850,29766
7/07,Miércoles,26344,30310,28327
8/07,Jueves,26809,30845,28827
9/07,Viernes,26312,30272,28292
12/07,Lunes,29440,33872,31656
13/07,Martes,29288,33696,31492
14/07,Miércoles,27474,31610,29542
15/07,Jueves,27677,31843,29760
16/07,Viernes,26675,30691,28683
19/07,Lunes,25078,28854,26966
20/07,Martes,26175,30115,28145
21/07,Miércoles,26813,30849,28831
22/07,Jueves,26375,30345,28360
23/07,Viernes,27577,31729,29653
26/07,Lunes,28420,32698,30559
