0,1,2,3,4
Fecha,Día,Min,Máx,Precio
2/06,Miércoles,36263,41723,38993
3/06,Jueves,37372,42998,40185
4/06,Viernes,36243,41699,38971
7/06,Lunes,33600,38658,36129
8/06,Martes,32922,37878,35400
9/06,Miércoles,33692,38764,36228
10/06,Jueves,33301,38313,35807
11/06,Viernes,37262,42872,40067
14/06,Lunes,34496,39690,37093
15/06,Martes,34628,39840,37234
16/06,Miércoles,31865,36661,34263
17/06,Jueves,35136,40426,37781
18/06,Viernes,30140,34678,32409
21/06,Lunes,29715,34189,31952
22/06,Martes,27827,32015,29921
23/06,Miércoles,27665,31829,29747
24/06,Jueves,25927,29831,27879
25/06,Viernes,26025,29943,27984
28/06,Lunes,26127,30061,28094
29/06,Martes,22792,26224,24508
30/06,Miércoles,23152,26638,24895
1/07,Jueves,22189,25529,23859
2/07,Viernes,21944,25248,23596
5/07,Lunes,22544,25938,24241
